circuit_id,municipality,centroid_lat,centroid_lon,polygon_count,total_vertices
A_DU_RM_CL_103      ,A ,-34.870803,-56.241006,1,12
A_DU_RM_CL_104      ,A ,-34.868931,-56.227797,1,16
A_DU_RM_CL_105      ,A ,-34.861495,-56.239663,1,23
A_DU_RM_CL_106      ,A ,-34.861345,-56.218925,1,24
A_DU_RM_CL_107      ,A ,-34.852173,-56.229882,1,14
A_DU_RM_CL_108      ,A ,-34.85413,-56.217558,1,16
A_DU_RM_CL_109      ,A ,-34.840922,-56.238162,1,15
A_DU_RM_CL_110      ,A ,-34.849275,-56.241223,1,13
A_DU_RM_CL_111      ,A ,-34.839635,-56.253205,1,30
A_DU_RM_CL_112      ,A ,-34.850555,-56.268968,1,28
A_DU_RM_CL_113      ,A ,-34.860693,-56.255962,1,38
A_DU_RM_CL_114      ,A ,-34.870836,-56.260453,1,15
A_DU_RM_CL_116      ,A ,-34.836543,-56.267158,1,64
A_DU_RM_CL_202      ,A ,-34.889413,-56.255394,1,24
A_DU_RM_CL_203      ,A ,-34.88581,-56.259299,1,18
A_DU_RM_CL_204      ,A ,-34.879666,-56.257435,1,5
A_DU_RM_CL_205      ,A ,-34.876569,-56.261161,1,6
B_DU_RM_CL_01       ,B ,-34.907148,-56.206232,1,36
B_DU_RM_CL_02       ,B ,-34.906102,-56.194461,1,13
B_DU_RM_CL_03       ,B ,-34.907921,-56.186671,1,26
B_DU_RM_CL_04       ,B ,-34.897063,-56.174818,1,14
B_DU_RM_CL_05       ,B ,-34.909352,-56.179875,1,18
B_DU_RM_CL_06       ,B ,-34.902419,-56.169827,1,11
B_DU_RM_CL_07       ,B ,-34.911004,-56.168862,1,19
B_DU_RM_CL_101      ,B ,-34.894788,-56.188771,1,21
B_DU_RM_CL_102      ,B ,-34.891115,-56.174977,1,17
B_DU_RM_CL_103      ,B ,-34.917054,-56.163756,1,9
CH_DU_RM_CL_101     ,CH,-34.922132,-56.157344,1,21
CH_DU_RM_CL_102     ,CH,-34.912755,-56.157042,1,23
CH_DU_RM_CL_103     ,CH,-34.919915,-56.153508,1,15
CH_DU_RM_CL_104     ,CH,-34.910513,-56.151581,1,23
CH_DU_RM_CL_105     ,CH,-34.906177,-56.158983,1,20
CH_DU_RM_CL_106     ,CH,-34.905333,-56.149248,1,17
CH_DU_RM_CL_107     ,CH,-34.908475,-56.146735,1,16
CH_DU_RM_CL_108     ,CH,-34.905962,-56.136927,1,23
CH_DU_RM_CL_109     ,CH,-34.910344,-56.13836,1,77
CH_DU_RM_CL_110     ,CH,-34.897064,-56.161366,1,15
CH_DU_RM_CL_111     ,CH,-34.900943,-56.157346,1,15
CH_DU_RM_CL_112     ,CH,-34.897558,-56.150285,1,14
CH_DU_RM_CL_113     ,CH,-34.899013,-56.143228,1,11
CH_DU_RM_CL_114     ,CH,-34.897263,-56.137883,1,16
CH_DU_RM_CL_115     ,CH,-34.896169,-56.130788,1,10
CH_DU_RM_CL_116     ,CH,-34.893128,-56.147557,1,9
CH_DU_RM_CL_117     ,CH,-34.889838,-56.143378,1,8
CH_DU_RM_CL_118     ,CH,-34.889926,-56.138971,1,10
CH_DU_RM_CL_119     ,CH,-34.891278,-56.161706,1,12
CH_DU_RM_CL_120     ,CH,-34.887843,-56.157082,1,13
CH_DU_RM_CL_121     ,CH,-34.884951,-56.154041,1,16
CH_DU_RM_CL_122     ,CH,-34.916901,-56.148748,1,5
CH_DU_RM_CL_123     ,CH,-34.914144,-56.147791,1,5
C_DU_RM_CL_101      ,C ,-34.886393,-56.188068,1,21
C_DU_RM_CL_102      ,C ,-34.88216,-56.18467,1,29
C_DU_RM_CL_103      ,C ,-34.881999,-56.171119,1,10
C_DU_RM_CL_104      ,C ,-34.880874,-56.16144,1,17
C_DU_RM_CL_105      ,C ,-34.874297,-56.164765,1,18
C_DU_RM_CL_106      ,C ,-34.878188,-56.173906,1,13
C_DU_RM_CL_107      ,C ,-34.876541,-56.183235,1,18
C_DU_RM_CL_108      ,C ,-34.87738,-56.18961,1,22
C_DU_RM_CL_109      ,C ,-34.877523,-56.201763,1,25
C_DU_RM_CL_110      ,C ,-34.865708,-56.172104,1,15
C_DU_RM_CL_111      ,C ,-34.865674,-56.180924,1,19
C_DU_RM_CL_112      ,C ,-34.864134,-56.192666,1,19
C_DU_RM_CL_113      ,C ,-34.857911,-56.18466,1,17
C_DU_RM_CL_114      ,C ,-34.855261,-56.196043,1,55
C_DU_RM_CL_115      ,C ,-34.865857,-56.204221,1,20
C_DU_RM_CL_116      ,C ,-34.868275,-56.212415,1,29
D_DU_RM_CL_101      ,D ,-34.876941,-56.152262,1,14
D_DU_RM_CL_102      ,D ,-34.873954,-56.146384,1,9
D_DU_RM_CL_103      ,D ,-34.869987,-56.138245,1,15
D_DU_RM_CL_104      ,D ,-34.867474,-56.143205,1,10
D_DU_RM_CL_105      ,D ,-34.867672,-56.153656,1,15
D_DU_RM_CL_106      ,D ,-34.863053,-56.143553,1,19
D_DU_RM_CL_107      ,D ,-34.85911,-56.148245,1,15
D_DU_RM_CL_108      ,D ,-34.86235,-56.161589,1,10
D_DU_RM_CL_109      ,D ,-34.859172,-56.156106,1,18
D_DU_RM_CL_110      ,D ,-34.853028,-56.155144,1,8
D_DU_RM_CL_111      ,D ,-34.854472,-56.169032,1,10
D_DU_RM_CL_112      ,D ,-34.846986,-56.181079,1,26
D_DU_RM_CL_113      ,D ,-34.842895,-56.165482,1,14
D_DU_RM_CL_114      ,D ,-34.836662,-56.157658,1,9
D_DU_RM_CL_115      ,D ,-34.83258,-56.16866,1,21
D_DU_RM_CL_116      ,D ,-34.829008,-56.154502,1,18
D_DU_RM_CL_117      ,D ,-34.824362,-56.168288,1,28
D_DU_RM_CL_118      ,D ,-34.822285,-56.152426,1,19
D_DU_RM_CL_119      ,D ,-34.814958,-56.150271,1,12
D_DU_RM_CL_120      ,D ,-34.814088,-56.162553,1,42
D_DU_RM_CL_121      ,D ,-34.776032,-56.136645,1,13
E_DU_RM_CL_101      ,E ,-34.882886,-56.141594,1,21
E_DU_RM_CL_102      ,E ,-34.881354,-56.135534,1,16
E_DU_RM_CL_103      ,E ,-34.875118,-56.129637,1,15
E_DU_RM_CL_104      ,E ,-34.891936,-56.124799,1,18
E_DU_RM_CL_105      ,E ,-34.893292,-56.115435,1,33
E_DU_RM_CL_106      ,E ,-34.884344,-56.113232,1,22
E_DU_RM_CL_107      ,E ,-34.878519,-56.107567,1,27
E_DU_RM_CL_108      ,E ,-34.893512,-56.102547,1,31
E_DU_RM_CL_109      ,E ,-34.893615,-56.105416,2,33
E_DU_RM_CL_110      ,E ,-34.876543,-56.09314,1,22
E_DU_RM_CL_111      ,E ,-34.875956,-56.072754,1,22
E_DU_RM_CL_112      ,E ,-34.893262,-56.079916,1,42
E_DU_RM_CL_113      ,E ,-34.885779,-56.0726,1,17
E_DU_RM_CL_114      ,E ,-34.895573,-56.065136,1,30
E_DU_RM_CL_115      ,E ,-34.872273,-56.047017,1,20
E_DU_RM_CL_136      ,E ,-34.8771,-56.1178,1,16
F_DU_RM_CL_101      ,F ,-34.865248,-56.091271,1,46
F_DU_RM_CL_102      ,F ,-34.867263,-56.120325,1,26
F_DU_RM_CL_103      ,F ,-34.867225,-56.130705,1,20
F_DU_RM_CL_104      ,F ,-34.854513,-56.137352,1,22
F_DU_RM_CL_105      ,F ,-34.845876,-56.145855,1,11
F_DU_RM_CL_106      ,F ,-34.856291,-56.121859,1,19
F_DU_RM_CL_107      ,F ,-34.850302,-56.120752,1,25
F_DU_RM_CL_108      ,F ,-34.843979,-56.126093,1,31
F_DU_RM_CL_109      ,F ,-34.832945,-56.131675,1,31
F_DU_RM_CL_110      ,F ,-34.836792,-56.118891,1,37
F_DU_RM_CL_111      ,F ,-34.825808,-56.132598,1,29
F_DU_RM_CL_112      ,F ,-34.813985,-56.131527,1,22
F_DU_RM_CL_113      ,F ,-34.829539,-56.116762,1,32
F_DU_RM_CL_114      ,F ,-34.823555,-56.102779,1,26
F_DU_RM_CL_115      ,F ,-34.807133,-56.093543,1,20
G_DU_RM_CL_101      ,G ,-34.849822,-56.199415,1,53
G_DU_RM_CL_103      ,G ,-34.836278,-56.208299,1,18
