circuit_id,container_count,centroid_lat,centroid_lon,lat_min,lat_max,lon_min,lon_max,shift
A_DU_RM_CL_103      ,30,-34.871537,-56.239095,-34.875499,-34.867668,-56.242552,-56.235908,UNKNOWN
A_DU_RM_CL_104      ,86,-34.866761,-56.230049,-34.871497,-34.860656,-56.238766,-56.220872,UNKNOWN
A_DU_RM_CL_105      ,82,-34.860227,-56.237083,-34.86786,-34.85319,-56.243207,-56.229313,UNKNOWN
A_DU_RM_CL_106      ,85,-34.861008,-56.221317,-34.866927,-34.854654,-56.228089,-56.213639,UNKNOWN
A_DU_RM_CL_107      ,80,-34.852369,-56.230194,-34.857705,-34.846216,-56.23741,-56.223468,UNKNOWN
A_DU_RM_CL_108      ,101,-34.852975,-56.217207,-34.859581,-34.846332,-56.224001,-56.209154,UNKNOWN
A_DU_RM_CL_109      ,86,-34.838961,-56.238224,-34.848538,-34.829792,-56.25102,-56.222729,UNKNOWN
A_DU_RM_CL_110      ,80,-34.848025,-56.241579,-34.853537,-34.842598,-56.247293,-56.234331,UNKNOWN
A_DU_RM_CL_111      ,90,-34.839694,-56.251924,-34.846312,-34.831868,-56.261247,-56.244107,UNKNOWN
A_DU_RM_CL_112      ,105,-34.849383,-56.274637,-34.855613,-34.840845,-56.288788,-56.258097,UNKNOWN
A_DU_RM_CL_113      ,98,-34.861165,-56.260504,-34.867378,-34.852775,-56.270576,-56.246703,UNKNOWN
A_DU_RM_CL_114      ,64,-34.870919,-56.260087,-34.874989,-34.866786,-56.266914,-56.252917,UNKNOWN
A_DU_RM_CL_116      ,99,-34.837717,-56.26687,-34.847962,-34.828692,-56.280342,-56.254698,UNKNOWN
A_DU_RM_CL_202      ,62,-34.890463,-56.252766,-34.89477,-34.884796,-56.25944,-56.24943,UNKNOWN
A_DU_RM_CL_203      ,50,-34.884635,-56.25931,-34.8897,-34.881717,-56.264085,-56.251493,UNKNOWN
A_DU_RM_CL_204      ,46,-34.880263,-56.259228,-34.882229,-34.877987,-56.265404,-56.252088,UNKNOWN
A_DU_RM_CL_205      ,48,-34.876975,-56.259475,-34.878879,-34.875022,-56.265831,-56.252995,UNKNOWN
A_DU_RM_CL_206      ,59,-34.880122,-56.249419,-34.887492,-34.871893,-56.25197,-56.246455,UNKNOWN
B_DU_RM_CL_01       ,146,-34.906853,-56.203842,-34.910969,-34.901913,-56.21374,-56.197107,UNKNOWN
B_DU_RM_CL_02       ,174,-34.906525,-56.193466,-34.912721,-34.899694,-56.197112,-56.189805,UNKNOWN
B_DU_RM_CL_03       ,157,-34.904662,-56.185893,-34.914506,-34.896703,-56.190784,-56.179431,UNKNOWN
B_DU_RM_CL_04       ,155,-34.897272,-56.173549,-34.903964,-34.891921,-56.183033,-56.134181,UNKNOWN
B_DU_RM_CL_05       ,147,-34.908733,-56.179629,-34.91381,-34.903516,-56.186766,-56.174295,UNKNOWN
B_DU_RM_CL_06       ,154,-34.90179,-56.169635,-34.905937,-34.895773,-56.176618,-56.164137,UNKNOWN
