gid,circuit_id,municipality,vertices_wgs84,vertex_count,centroid_lat,centroid_lon
1926,G_DU_RM_CL_103      ,G ,"-34.838653 -56.201178, -34.839263 -56.200072, -34.838142 -56.199088, -34.837166 -56.200768, -34.837151 -56.201141, -34.833804 -56.206776, -34.832125 -56.209768, -34.833101 -56.210565, -34.832235 -56.212051, -34.829871 -56.216019, -34.827525 -56.220038, -34.831948 -56.221119, -34.834556 -56.221628, -34.839079 -56.213917, -34.841924 -56.209095, -34.845228 -56.203595, -34.842578 -56.201378, -34.838653 -56.201178",18,-34.836278,-56.208299
2442,A_DU_RM_CL_202      ,A ,"-34.884976 -56.252000, -34.885398 -56.255187, -34.886733 -56.254875, -34.886864 -56.255788, -34.884440 -56.256363, -34.884990 -56.260590, -34.886378 -56.260332, -34.886587 -56.259560, -34.886978 -56.259159, -34.888333 -56.257765, -34.889568 -56.258077, -34.890290 -56.254844, -34.891797 -56.254527, -34.891961 -56.255507, -34.892441 -56.256322, -34.894004 -56.255661, -34.894267 -56.256427, -34.894695 -56.256214, -34.893921 -56.254135, -34.895685 -56.253804, -34.894982 -56.248722, -34.887747 -56.250149, -34.887904 -56.251451, -34.884976 -56.252000",24,-34.889413,-56.255394
2406,G_DU_RM_CL_109      ,G ,"-34.841466 -56.196410, -34.844358 -56.191750, -34.847236 -56.188726, -34.846527 -56.187598, -34.845957 -56.186844, -34.844823 -56.189289, -34.844458 -56.189608, -34.843274 -56.191245, -34.841934 -56.193657, -34.840732 -56.195731, -34.841466 -56.196410",11,-34.843839,-56.19157
2428,CH_DU_RM_CL_110     ,CH,"-34.895031 -56.164953, -34.895031 -56.164953, -34.902263 -56.164150, -34.902302 -56.164004, -34.902622 -56.162738, -34.902833 -56.161369, -34.898692 -56.158435, -34.897802 -56.157919, -34.896932 -56.158732, -34.895039 -56.159173, -34.894229 -56.159153, -34.892120 -56.158511, -34.892035 -56.158786, -34.893990 -56.162657, -34.895031 -56.164953",15,-34.897064,-56.161366
2430,CH_DU_RM_CL_117     ,CH,"-34.888815 -56.147598, -34.895547 -56.143183, -34.894397 -56.139191, -34.888411 -56.141561, -34.888315 -56.141382, -34.886809 -56.141977, -34.887592 -56.144533, -34.888815 -56.147598",8,-34.889838,-56.143378
2431,CH_DU_RM_CL_118     ,CH,"-34.886809 -56.141977, -34.888315 -56.141382, -34.888411 -56.141561, -34.894397 -56.139191, -34.894368 -56.139074, -34.893817 -56.135420, -34.893026 -56.129836, -34.886581 -56.137955, -34.886723 -56.141340, -34.886809 -56.141977",10,-34.889926,-56.138971
2432,CH_DU_RM_CL_122     ,CH,"-34.916462 -56.148783, -34.917560 -56.148716, -34.917555 -56.148696, -34.916464 -56.148763, -34.916462 -56.148783",5,-34.916901,-56.148748
2412,CH_DU_RM_CL_107     ,CH,"-34.909414 -56.150694, -34.912918 -56.147389, -34.910482 -56.144660, -34.909239 -56.142725, -34.909498 -56.140562, -34.908620 -56.140331, -34.908518 -56.141422, -34.907983 -56.144779, -34.905289 -56.147379, -34.906855 -56.149388, -34.906855 -56.149388, -34.906863 -56.149568, -34.907369 -56.149603, -34.907846 -56.149500, -34.908442 -56.149673, -34.909414 -56.150694",16,-34.908475,-56.146735
2420,CH_DU_RM_CL_121     ,CH,"-34.882378 -56.159542, -34.887341 -56.154024, -34.887746 -56.153798, -34.887960 -56.153872, -34.888133 -56.153715, -34.888307 -56.153392, -34.890498 -56.151781, -34.890152 -56.150767, -34.888815 -56.147598, -34.881997 -56.152465, -34.881997 -56.152465, -34.881073 -56.153414, -34.879832 -56.154800, -34.879305 -56.155247, -34.881311 -56.158235, -34.882378 -56.159542",16,-34.884951,-56.154041
2423,CH_DU_RM_CL_113     ,CH,"-34.896042 -56.146606, -34.902782 -56.145717, -34.902710 -56.144845, -34.902472 -56.143410, -34.901212 -56.138473, -34.900527 -56.138782, -34.898216 -56.140774, -34.897459 -56.141549, -34.895547 -56.143183, -34.896135 -56.145561, -34.896042 -56.146606",11,-34.899013,-56.143228
